session_id,query_id,turn_index,parsed_gold_groups,shortterm_hit,midterm_rank,longterm_hit,final_hit
S001,S001-Q001,0,[],[],[],[],[]
S001,S001-Q002,1,[['S001-Q001']],[True],[None],[False],[True]
S001,S001-Q003,2,[['S001-Q002']],[True],[None],[False],[True]
S001,S001-Q004,3,[['S001-Q003']],[True],[None],[False],[True]
S001,S001-Q005,4,[['S001-Q004']],[True],[None],[False],[True]
S001,S001-Q006,5,[['S001-Q001']],[False],[1],[True],[True]
S001,S001-Q007,6,[['S001-Q006']],[True],[None],[False],[True]
S001,S001-Q008,7,[['S001-Q003']],[False],[1],[True],[True]
S001,S001-Q009,8,[['S001-Q008']],[True],[None],[False],[True]
S001,S001-Q010,9,[['S001-Q005']],[False],[1],[True],[True]
S001,S001-Q011,10,[['S001-Q010']],[True],[None],[False],[True]
S001,S001-Q012,11,[['S001-Q007']],[False],[1],[True],[True]
S001,S001-Q013,12,[['S001-Q012']],[True],[None],[False],[True]
S001,S001-Q014,13,[['S001-Q009']],[False],[4],[True],[True]
S001,S001-Q015,14,"[['S001-Q012'], ['S001-Q014']]","[True, True]","[None, None]","[False, False]","[True, True]"
S001,S001-Q016,15,[['S001-Q011']],[False],[6],[True],[True]
S001,S001-Q017,16,[['S001-Q016']],[True],[None],[False],[True]
S001,S001-Q018,17,[['S001-Q013']],[False],[1],[True],[True]
S001,S001-Q019,18,[['S001-Q018']],[True],[None],[False],[True]
S001,S001-Q020,19,[['S001-Q015']],[False],[10],[True],[True]
S001,S001-Q021,20,[['S001-Q020']],[True],[None],[False],[True]
S001,S001-Q022,21,[['S001-Q017']],[False],[4],[True],[True]
S001,S001-Q023,22,[['S001-Q022']],[True],[None],[False],[True]
S001,S001-Q024,23,[['S001-Q019']],[False],[6],[False],[False]
S001,S001-Q025,24,[['S001-Q024']],[True],[None],[False],[True]
S001,S001-Q026,25,[['S001-Q021']],[False],[2],[False],[True]
S001,S001-Q027,26,[['S001-Q026']],[True],[None],[False],[True]
S001,S001-Q028,27,[['S001-Q023']],[False],[2],[True],[True]
S001,S001-Q029,28,[['S001-Q028']],[True],[None],[False],[True]
S001,S001-Q030,29,[['S001-Q025']],[False],[5],[False],[True]
S001,S001-Q031,30,[['S001-Q030']],[True],[None],[False],[True]
S001,S001-Q032,31,[['S001-Q027']],[False],[2],[False],[True]
S001,S001-Q033,32,[['S001-Q032']],[True],[None],[False],[True]
S001,S001-Q034,33,[['S001-Q029']],[False],[17],[False],[False]
S001,S001-Q035,34,[['S001-Q034']],[True],[None],[False],[True]
S001,S001-Q036,35,[['S001-Q031']],[False],[18],[False],[False]
S001,S001-Q037,36,[['S001-Q036']],[True],[None],[False],[True]
S001,S001-Q038,37,[['S001-Q033']],[False],[2],[True],[True]
S001,S001-Q039,38,"[['S001-Q033'], ['S001-Q038']]","[False, True]","[12, None]","[False, False]","[False, True]"
S001,S001-Q040,39,[['S001-Q035']],[False],[7],[False],[False]
S001,S001-Q041,40,[['S001-Q040']],[True],[None],[False],[True]
S001,S001-Q042,41,[['S001-Q037']],[False],[1],[True],[True]
S001,S001-Q043,42,[['S001-Q042']],[True],[None],[False],[True]
S001,S001-Q044,43,[['S001-Q039']],[False],[4],[False],[True]
S001,S001-Q045,44,[['S001-Q044']],[True],[None],[False],[True]
S001,S001-Q046,45,[['S001-Q041']],[False],[35],[False],[False]
S001,S001-Q047,46,[['S001-Q046']],[True],[None],[False],[True]
S001,S001-Q048,47,[['S001-Q043']],[False],[1],[False],[True]
S001,S001-Q049,48,[['S001-Q048']],[True],[None],[False],[True]
S001,S001-Q050,49,[['S001-Q045']],[False],[4],[False],[True]
S002,S002-Q001,0,[],[],[],[],[]
S002,S002-Q002,1,[['S002-Q001']],[True],[None],[False],[True]
S002,S002-Q003,2,[['S002-Q002']],[True],[None],[False],[True]
S002,S002-Q004,3,[['S002-Q003']],[True],[None],[False],[True]
S002,S002-Q005,4,[['S002-Q004']],[True],[None],[False],[True]
S002,S002-Q006,5,[['S002-Q001']],[False],[1],[True],[True]
S002,S002-Q007,6,[['S002-Q006']],[True],[None],[False],[True]
S002,S002-Q008,7,[['S002-Q003']],[False],[2],[True],[True]
S002,S002-Q009,8,[['S002-Q008']],[True],[None],[False],[True]
S002,S002-Q010,9,[['S002-Q005']],[False],[1],[True],[True]
S002,S002-Q011,10,[['S002-Q010']],[True],[None],[False],[True]
S002,S002-Q012,11,[['S002-Q007']],[False],[2],[True],[True]
S002,S002-Q013,12,[['S002-Q012']],[True],[None],[False],[True]
S002,S002-Q014,13,[['S002-Q009']],[False],[2],[True],[True]
S002,S002-Q015,14,[['S002-Q014']],[True],[None],[False],[True]
S002,S002-Q016,15,[['S002-Q011']],[False],[5],[True],[True]
S002,S002-Q017,16,[['S002-Q016']],[True],[None],[False],[True]
S002,S002-Q018,17,[['S002-Q013']],[False],[1],[True],[True]
S002,S002-Q019,18,[['S002-Q018']],[True],[None],[False],[True]
S002,S002-Q020,19,[['S002-Q015']],[False],[2],[True],[True]
S002,S002-Q021,20,"[['S002-Q010'], ['S002-Q020']]","[False, True]","[16, None]","[False, False]","[False, True]"
S002,S002-Q022,21,[['S002-Q017']],[False],[1],[True],[True]
S002,S002-Q023,22,[['S002-Q022']],[True],[None],[False],[True]
S002,S002-Q024,23,[['S002-Q019']],[False],[9],[False],[False]
S002,S002-Q025,24,"[['S002-Q022'], ['S002-Q024']]","[True, True]","[None, None]","[False, False]","[True, True]"
S002,S002-Q026,25,[['S002-Q021']],[False],[8],[False],[False]
S002,S002-Q027,26,[['S002-Q026']],[True],[None],[False],[True]
S002,S002-Q028,27,[['S002-Q023']],[False],[5],[True],[True]
S002,S002-Q029,28,[['S002-Q028']],[True],[None],[False],[True]
S002,S002-Q030,29,[['S002-Q025']],[False],[17],[True],[True]
S002,S002-Q031,30,[['S002-Q030']],[True],[None],[False],[True]
S002,S002-Q032,31,[['S002-Q027']],[False],[2],[True],[True]
S002,S002-Q033,32,[['S002-Q032']],[True],[None],[False],[True]
S002,S002-Q034,33,[['S002-Q029']],[False],[3],[True],[True]
S002,S002-Q035,34,[['S002-Q034']],[True],[None],[False],[True]
S002,S002-Q036,35,[['S002-Q031']],[False],[5],[True],[True]
S002,S002-Q037,36,[['S002-Q036']],[True],[None],[False],[True]
S002,S002-Q038,37,[['S002-Q033']],[False],[3],[False],[True]
S002,S002-Q039,38,[['S002-Q038']],[True],[None],[False],[True]
S002,S002-Q040,39,[['S002-Q035']],[False],[33],[False],[False]
S002,S002-Q041,40,[['S002-Q040']],[True],[None],[False],[True]
S002,S002-Q042,41,[['S002-Q037']],[False],[1],[True],[True]
S002,S002-Q043,42,[['S002-Q042']],[True],[None],[False],[True]
